# N elementos procesados,Tiempo Promedio[ms],STD Tiempo [ms] 
2,0.00009,0.00006
20,0.04022,0.01296
30,0.11622,0.02118
50,0.79927,0.13922
100,5.08982,1.56494
200,33.16683,0.98061
500,673.25385,36.52018
1000,10069.47949,1014.81879
1200,12527.96973,947.47406
1500,34029.94141,871.86255
