 N elementos procesados, Tiempo promedio(ms), 
      100000   1.50000000000000000000000000000000118E-0004,,
      143844   0.00000000000000000000000000000000000      ,,
      206913   1.60000000000000000000000000000000888E-0004,,
      297635   7.80000000000000000000000000000008731E-0004,,
      428133   7.69999999999999999999999999999993456E-0004,,
      615842   1.71999999999999999999999999999999893E-0003,,
      885866   2.21999999999999999999999999999997445E-0003,,
     1274274   2.32999999999999999999999999999998017E-0003,,
     1832980   3.12999999999999999999999999999999622E-0003,,
     2636650   4.06000000000000000000000000000000227E-0003,,
     3792690   5.44000000000000000000000000000002295E-0003,,
     5455594   9.54999999999999999999999999999998593E-0003,,
     7847599   1.19700000000000000000000000000000477E-0002,,
    11288378   1.84100000000000000000000000000002681E-0002,,
    16237767   2.60399999999999999999999999999991809E-0002,,
    23357214   3.79400000000000000000000000000001435E-0002,,
    33598182   5.48800000000000000000000000000010786E-0002,,
    48329302   7.82599999999999999999999999999964442E-0002,,
    69519278  0.114040000000000000000000000000006669      ,,
   100000000  0.165169999999999999999999999999994943      ,,
