# N elementos procesados,Tiempo Promedio[ms],STD Tiempo [ms] 
10,0.00517,0.00052
20,0.04206,0.00626
30,0.13526,0.01930
50,0.76740,0.24957
100,5.72315,0.89556
200,46.76120,4.19539
500,938.71741,57.75153
1000,10346.71377,1088.46552
1200,13307.13750,43.34294
1500,33812.79293,1469.32724
